Size,Type,InstanceID,Repetition,Algorithm,Threads,TimeMS
32,strongly_correlated,17,0,SequentialOptimized,1,2.6923
32,strongly_correlated,17,0,Parallel,4,1.2876
32,strongly_correlated,17,0,Parallel,6,1.1468
32,strongly_correlated,17,0,Parallel,12,2.0346
32,strongly_correlated,18,0,SequentialOptimized,1,0.5381
32,strongly_correlated,18,0,Parallel,4,2.7335
32,strongly_correlated,18,0,Parallel,6,2.5831
32,strongly_correlated,18,0,Parallel,12,4.3506
32,strongly_correlated,19,0,SequentialOptimized,1,2.4577
32,strongly_correlated,19,0,Parallel,4,1.2068
32,strongly_correlated,19,0,Parallel,6,0.9268
32,strongly_correlated,19,0,Parallel,12,1.4263
35,strongly_correlated,0,0,SequentialOptimized,1,731.609
35,strongly_correlated,0,0,Parallel,4,206.33
35,strongly_correlated,0,0,Parallel,6,143.506
35,strongly_correlated,0,0,Parallel,12,82.59
35,strongly_correlated,1,0,SequentialOptimized,1,817.182
35,strongly_correlated,1,0,Parallel,4,239.505
35,strongly_correlated,1,0,Parallel,6,173.978
35,strongly_correlated,1,0,Parallel,12,94.881
35,strongly_correlated,2,0,SequentialOptimized,1,0.1665
35,strongly_correlated,2,0,Parallel,4,0.9397
35,strongly_correlated,2,0,Parallel,6,0.6964
35,strongly_correlated,2,0,Parallel,12,2.4887
35,strongly_correlated,3,0,SequentialOptimized,1,2.7173
35,strongly_correlated,3,0,Parallel,4,1.1904
35,strongly_correlated,3,0,Parallel,6,1.0313
35,strongly_correlated,3,0,Parallel,12,1.4169
35,strongly_correlated,4,0,SequentialOptimized,1,0.1887
35,strongly_correlated,4,0,Parallel,4,0.811
35,strongly_correlated,4,0,Parallel,6,0.7883
35,strongly_correlated,4,0,Parallel,12,0.8826
35,strongly_correlated,5,0,SequentialOptimized,1,394.819
35,strongly_correlated,5,0,Parallel,4,109.421
35,strongly_correlated,5,0,Parallel,6,81.4112
35,strongly_correlated,5,0,Parallel,12,41.1813
35,strongly_correlated,6,0,SequentialOptimized,1,555.217
35,strongly_correlated,6,0,Parallel,4,154.725
35,strongly_correlated,6,0,Parallel,6,108.549
35,strongly_correlated,6,0,Parallel,12,60.6879
35,strongly_correlated,7,0,SequentialOptimized,1,0.0611
35,strongly_correlated,7,0,Parallel,4,0.6151
35,strongly_correlated,7,0,Parallel,6,0.7092
35,strongly_correlated,7,0,Parallel,12,2.5298
35,strongly_correlated,8,0,SequentialOptimized,1,7.4479
